ITEM_ID,DOMAIN_ID,MISSING_ATTRIBUTES_PI,MISSING_ATTRIBUTES_FT
224506524
MLB798397389,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB795597672,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887538323,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB876253678,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB798466331,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB798400466,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB798459041,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB798397392,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887538329,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB984193196,MLB-RACQUETS,GTIN,MODEL; GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB890187034,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB890187028,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887538331,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887538326,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887534913,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887534910,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887534909,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887534907,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887534904,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887534903,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887534900,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887532476,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887532471,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887532469,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887532463,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887532456,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB887501563,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB876253686,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB876250789,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB876247684,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB876247667,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB876247659,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB876247625,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
